Episode,Worker,Cumulative Reward,RPS
47,2,-36.055226476333715,-0.24036817650889145
48,3,-33.586584862382736,-0.22391056574921825
49,0,-26.15856389113617,-0.17439042594090778
50,1,-23.9569686843451,-0.15971312456230066
51,2,-34.780624615304745,-0.2318708307686983
52,3,-30.72238874123205,-0.204815924941547
53,0,-26.392573013053948,-0.175950486753693
54,1,-28.262880355209848,-0.18841920236806564
55,2,-24.082357151255838,-0.16054904767503891
56,3,-32.0732988570251,-0.21382199238016733
57,0,-33.42427505958339,-0.22282850039722257
58,1,-29.737117280815674,-0.19824744853877116
59,2,-22.449707978016296,-0.14966471985344196
60,3,-26.250998349952045,-0.17500665566634696
61,0,-26.911992269219464,-0.17941328179479643
62,1,-22.610397201395248,-0.150735981342635
63,2,-28.452772221865075,-0.18968514814576717
64,3,-24.316610104449023,-0.16211073402966014
65,0,-24.655402876793225,-0.16436935251195484
66,1,-25.737829752879527,-0.17158553168586352
67,2,-32.91603852944003,-0.21944025686293353
68,3,-8.802411876127142,-0.11895151183955596
69,0,-27.993516825383793,-0.18662344550255863
70,1,-23.59900979687381,-0.15732673197915872
71,2,-27.087827118296083,-0.18058551412197388
72,3,-29.19999608936896,-0.19466664059579306
73,0,-23.565066213685903,-0.1571004414245727
74,1,-22.92101572286922,-0.1528067714857948
75,2,9.870672513531492,9.870672513531492
76,3,9.874274887691461,9.874274887691461
77,0,-34.45686422038346,-0.2297124281358897
78,1,-28.45988346636297,-0.18973255644241982
79,2,-32.68136957478746,-0.21787579716524974
80,3,-32.42664754592653,-0.21617765030617686
81,0,-21.20650677321942,-0.1413767118214628
82,1,-29.061752536473897,-0.19374501690982598
83,2,-27.831672530085132,-0.18554448353390088
84,3,9.88290595087399,9.88290595087399
85,0,-30.64118792181541,-0.20427458614543606
86,1,-27.415116154665423,-0.18276744103110282
87,2,-30.05547488652908,-0.20036983257686053
88,3,-28.77224377312185,-0.191814958487479
89,0,-34.19200580740589,-0.22794670538270595
90,1,-39.856009382570164,-0.26570672921713445
91,2,-27.50864707837259,-0.18339098052248393
92,3,-22.536008548813612,-0.15024005699209075
93,0,-34.00617696383196,-0.22670784642554642
94,1,-25.324885150100613,-0.16883256766733742
95,2,-31.729331644264423,-0.21152887762842948
96,3,-22.8534969533344,-0.15235664635556267
97,0,-23.312856713150826,-0.15541904475433885
98,1,-26.254306348140208,-0.1750287089876014
99,2,-24.4988522118817,-0.16332568141254467
100,3,-29.78232952946407,-0.19854886352976048
101,0,-32.08397662318408,-0.21389317748789385
102,1,-24.428036625775533,-0.1628535775051702
103,2,-29.9106209171215,-0.19940413944747665
104,3,-36.683453104059474,-0.24455635402706316
105,0,-25.53567716865078,-0.17023784779100518
106,1,-26.72665663595086,-0.17817771090633908
107,2,-26.422691375495432,-0.17615127583663623
108,3,-21.914122217375283,-0.1460941481158352
109,0,9.870422681545529,9.870422681545529
110,1,-30.657316414919674,-0.20438210943279783
111,2,-23.70644118774531,-0.1580429412516354
112,3,-30.42234637157065,-0.20281564247713768
113,0,-20.735316334108536,-0.13823544222739023
114,1,-32.698860209246156,-0.21799240139497436
