Episode,Worker,Cumulative Reward,RPS
49,3,-65.43079572542942,-0.21810265241809806
50,0,-62.72596445841783,-0.20908654819472608
51,1,9.852547691009418,9.852547691009418
52,2,-48.8013270267815,-0.16267109008927166
53,3,-26.68698235826365,-0.10185871129108263
54,0,-69.30358884324818,-0.23101196281082725
55,1,-44.316481990334175,-0.14772160663444725
56,2,-60.00838797811506,-0.2000279599270502
57,3,-51.26177513901175,-0.17087258379670583
58,0,-71.75829094479535,-0.23919430314931783
59,1,-50.695233037773754,-0.16898411012591252
60,2,-50.216367665937035,-0.1673878922197901
61,3,-47.07623578632228,-0.1569207859544076
62,0,-19.790886184395582,-0.1221659641012073
63,1,-9.444923487652122,-0.10047790944310768
64,2,-54.016091045422144,-0.18005363681807382
65,3,-43.9276960630283,-0.14642565354342765
66,0,-66.94971414011717,-0.22316571380039055
67,1,-58.560663497423135,-0.1952022116580771
68,2,-57.633493355932316,-0.1921116445197744
69,3,-45.134676022728016,-0.15044892007576005
70,0,-58.362247360436484,-0.19454082453478827
71,1,-69.58877406251695,-0.23196258020838983
72,2,-53.95488866437672,-0.17984962888125572
73,3,-63.334967380989895,-0.21111655793663298
74,0,-66.04335129305746,-0.22014450431019153
75,1,-54.24663462966833,-0.18082211543222776
76,2,-55.84962772163233,-0.18616542573877443
77,3,-17.54851628750261,-0.17374768601487733
78,0,-52.025323921705514,-0.17341774640568505
79,1,-54.459550041906994,-0.18153183347302332
80,2,-47.32653877638475,-0.15775512925461585
81,3,-47.19763091487516,-0.1573254363829172
82,0,-52.18979466245333,-0.17396598220817777
83,1,9.846987568984884,9.846987568984884
84,2,9.84952798678402,9.84952798678402
85,3,-59.172291607421606,-0.1972409720247387
86,0,-48.07478508727991,-0.16024928362426638
87,1,-67.03315367658058,-0.22344384558860195
88,2,-40.976197560731556,-0.13658732520243852
89,3,-54.42455321512926,-0.1814151773837642
90,0,-42.487260470875405,-0.1416242015695847
91,1,-53.76615714262309,-0.17922052380874365
92,2,-59.51108559469599,-0.19837028531565332
93,3,-63.913137625166065,-0.21304379208388688
94,0,-59.02542113881518,-0.1967514037960506
95,1,-29.336774736813137,-0.18221599215411885
96,2,-52.60623541865861,-0.1753541180621954
97,3,-47.78626640453595,-0.15928755468178651
98,0,-48.17808719218952,-0.16059362397396507
99,1,-62.8184798112507,-0.20939493270416898
100,2,-51.42356820792338,-0.17141189402641127
101,3,-64.62010182779642,-0.21540033942598805
102,0,-61.508071772906554,-0.2050269059096885
103,1,-44.386560155496454,-0.1479552005183215
104,2,-58.96327495803231,-0.19654424986010768
105,3,-62.45211460625062,-0.20817371535416873
106,0,-51.42131087505633,-0.1714043695835211
107,1,-5.651343396107826,-0.049573187685156374
108,2,-56.05019135772732,-0.1868339711924244
109,3,-61.327075400171026,-0.20442358466723676
110,0,-65.88549345083732,-0.21961831150279104
111,1,-67.84086415647012,-0.2261362138549004
112,2,-46.45523103159548,-0.15485077010531828
113,3,9.87776255846564,9.87776255846564
114,0,-69.82058609195687,-0.23273528697318957
115,1,-39.669516670213305,-0.13223172223404436
116,2,-50.25823237080138,-0.1675274412360046
117,3,-59.08227772058148,-0.1969409257352716
118,0,-48.49458471715827,-0.16164861572386088
119,1,-40.5838329942306,-0.135279443314102
120,2,-53.882436654175045,-0.17960812218058347
121,3,-52.682982845170216,-0.17560994281723405
122,0,-41.902420783318426,-0.13967473594439475
123,1,-59.141581453059544,-0.19713860484353182
124,2,-56.35772320633231,-0.18785907735444105
125,3,-67.88425738446105,-0.22628085794820352
126,0,-54.372967269946336,-0.18124322423315445
127,1,-4.786993650167885,-0.030490405415082068
128,2,9.866641714433161,9.866641714433161
129,3,-68.6648038523637,-0.22888267950787902
130,0,-56.021353634997155,-0.1867378454499905
131,1,-46.71257250379305,-0.15570857501264349
132,2,-59.98972637486926,-0.19996575458289753
133,3,-53.541917991079856,-0.1784730599702662
134,0,-43.895170002548966,-0.1463172333418299
135,1,-52.21145838811767,-0.1740381946270589
136,2,-52.56637512743775,-0.1752212504247925
137,3,-55.3711641334869,-0.184570547111623
138,0,-67.58730276502523,-0.22529100921675077
139,1,-57.41731030303657,-0.19139103434345525
